01,水（２リットル）,12
02,カセットコンロ,1
03,カセットボンベ,6
04,白米（単位:kg）,2
05,乾麺（1袋 = 300g),1
06,乾麺・パスタ（1袋 = 600g),1
07,カップ麺,3
08,パックご飯,3
09,その他・シリアル,1
10,"レトルト食品-1(牛丼の素、カレーなど)",9
11,"レトルト食品-2(パスタソースなど)",3
12,缶詰（肉・魚）,9
